ident,ru,en
checkpoint_name,Настройка окружения,
44d3efbb-3044-4be6-b6f5-a25707ede481,Настроим наше окружение для работы.  ,
14ee68e3-f066-4740-b77a-886d8aeced74, Ok ,
fa5fb748-85f2-44df-bf33-046ce1fd428e,"Скачайте и установите [link https://git-scm.com/download]git[/link] - для вашей системы, оставьте все настройки по умолчанию ",
bdd7b9b5-280e-49f6-8231-3c58b3c6ef2c, Готово ,
160961f1-0622-430f-af32-55429cab9473,Установите [link https://code.visualstudio.com/]VSCode[/link] скачайте и установите её для свой системы. ,
a39846c4-7142-4a10-ba0e-08dc14ac5c7d, Готово ,
57af78f3-3f61-4633-87e5-a8b441232aa9,"Запросите доступ в репозиторий у администратора - перейдите по ссылке, нажмите кнопку [ms]Code[/ms] и скопируйте от туда адрес репозитория ",
1682b257-f470-427e-8b0b-25c8ed5d1975, Готово ,
c482ecf3-d86d-4820-9a9c-0bae6b56ccc5,Откройте VSCode и во вкладке Source Control нажмите Clone Repository ,
74085ff6-7f71-4f12-81c2-5df14944c92f, Готово ,
db722fa6-43f5-4073-8eea-5de5c870b965,Введите скопированный адрес репозитория и нажмите Enter ,
7d12987c-663f-4652-b47d-b53200476e1c, Готово ,
57727955-3250-4fa8-8477-e76124d1bb1c,Выберете директорию на компьютере где будут храниться истории и происходить вся работа ,
289c741c-b1e9-41a6-8cdb-748c84b29220, Готово ,
e2af210a-939c-405f-aac3-aa9fa8cf069c,"Первый раз он попросит авторизоваться, выберете авторизоваться через браузер и введите свои учётные данные с GitHub и разрешите авторизацию ",
7ecffedf-0dbd-459c-9d21-cfc4faaa39a3, Готово ,
ccd83e54-e2bd-45c0-b019-0103e814d5c6,"VSCode предложит переключится на рабочую директорию, а также, возможно, спросит доверять ли этой директории - везде отвечаем - да ",
a370c914-7b13-4685-b3c7-9d347484ad37, Готово ,
068d95c5-aafa-4da1-954d-65ad86dbcf70,"В VSCode в меню Terminal, нажмите New Terminal ",
7448a903-0024-41ca-b986-52f8dcc93e13, Готово ,
78b3543f-42d3-43ea-9899-1abee66e4361,"Откроется окно терминала туда нужно ввести две команды, заменив [b]GithubUsername[/b] на ваше имя на github и [b]email@example.com[/b] на почту которую вы указали при регистрации на GitHub [ms]git config --global user.name GithubUsername[br/]git config --global user.email email@example.com[/ms] ",
04dd460f-491b-452c-bfa1-83e856b4962b, Готово ,
cd03f58e-176d-4dde-9eea-ec73215522f9,Поздравляю - вы подключились к Github репозиторию! ,
